id,type,seeAlso,inScheme,notation,prefLabel,topConceptOf,definition,note,broader,broaderTransitive,semanticRelation,narrower,narrowerTransitive,altLabel,theme,gekoppelde_eigenschap,belongsTo,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/bodemsaneringsproject,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,bodemsaneringsproject,Conform verklaard bodemsaneringsproject,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/brownfieldconvenant,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,brownfieldconvenant,Definitief gesloten brownfieldconvenant,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/leegstaand_niet_verwaarloosd,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,leegstaand_niet_verwaarloosd,Leegstaande maar niet-verwaarloosde bedrijfsruimten,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/nieuwe_eigenaars,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,nieuwe_eigenaars,Nieuwe eigenaars,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/verlenging_bij_vernieuwing,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,verlenging_bij_vernieuwing,Verlenging bij vernieuwing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/aanvraag_opschorting_heffing_reden/vernieuwing,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,vernieuwing,"Vernieuwing, al of niet gekoppeld aan de beëindiging van de leegstand",https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/aanvraag_opschorting_heffing_reden,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,aanvraag_opschorting_heffing_aanvaard,Aanvraag opschorting heffing aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_niet_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,aanvraag_opschorting_heffing_niet_aanvaard,Aanvraag opschorting heffing niet aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_schrapping,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,aanvraag_schrapping_aanvaard,Aanvraag schrapping aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_niet_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_schrapping,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,aanvraag_schrapping_niet_aanvaard,Aanvraag schrapping niet aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/beroep_tegen_registratie_ingewilligd,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/beroep_tegen_registratie,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,beroep_tegen_registratie_ingewilligd,Beroep tegen registratie ingewilligd,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/beroep_tegen_registratie_onontvankelijk_verklaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/beroep_tegen_registratie,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,beroep_tegen_registratie_onontvankelijk_verklaard,Beroep tegen registratie onontvankelijk verklaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/beroep_tegen_registratie_verworpen,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/beroep_tegen_registratie,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,beroep_tegen_registratie_verworpen,Beroep tegen registratie verworpen,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/geregistreerd_in_inventaris,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/registreren,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,geregistreerd_in_inventaris,Geregistreerd in inventaris,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/geschrapt_uit_inventaris,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,Geschrapt_uit_inventaris,Geschrapt uit inventaris,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/heffing_opgeschort,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,heffing_opgeschort,Heffing opgeschort,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/niet_geregistreerd_in_inventaris,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/registreren,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,niet_geregistreerd_in_inventaris,Niet geregistreerd in inventaris,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/registratie_ingetrokken,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,registratie_ingetrokken,Registratie ingetrokken,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/beslissing,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_opschorting_heffing,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_aanvaard|https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,Aanvraag opschorting heffing,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/aanvraag_schrapping,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_aanvaard|https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,Aanvraag schrapping,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,null,null,null,null,null,null,null,null,null,null,null
