uri,notation,prefLabel,definition,collections,inScheme,topConceptOf,broader,exactMatch,belongsTo,theme,gekoppelde_eigenschap,altLabel,seeAlso
conceptscheme:uitgesproken_gebrek,cs_uitgesproken_gebrek,Conceptschema over kenmerken van verwaarlozing aan gebouwen.,"Het vertonen van uitgesproken gebreken van algemene of beperkte omvang van bedrijfsverwaarlozing. De Vlaamse regering bepaalt de gebreken van algemene en beperkte omvang, alsook de criteria voor de beoordeling van de gebreken en de minimumnorm van de te vertonen gebreken om een bedrijfsruimte al dan niet als geheel of gedeeltelijk verwaarloosd te beschouwen;",,,,,,omg_dataset:codelijst-verwaarlozing,thema:5,,,
gebouwonderdeel,gebouwonderdeel,Gebrek aan de toestand van een gebouwonderdeel,,,conceptscheme:uitgesproken_gebrek,conceptscheme:uitgesproken_gebrek,,,,thema:5,prop:vertoont_gebrek_ivm_gebouwonderdeel,Gebrek aan de toestand van een gebouwonderdeel,
buitenmuren,buitenmuren,Gebrek aan de toestand van buitenmuren,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_buitenmuren,Buitenmuren,
schoorstenen,schoorstenen,Gebrek aan de toestand van schoorstenen,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_schoorstenen,Schoorstenen,
dakbedekking,dakbedekking,Gebrek aan de toestand van de dakbedekking,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_dakbedekking,Dakbedekking,
dakgebinte,dakgebinte,Gebrek aan de toestand van het dakgebinte,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_dakgebinte,Dakgebinte,
buitentimmerwerk,buitentimmerwerk,Gebrek aan de toestand van het buitentimmerwerk,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_buitentimmerwerk,Buitentimmerwerk,
kroonlijst,kroonlijst,Gebrek aan de toestand van de kroonlijst,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_kroonlijst,Kroonlijst,
dakgoten,dakgoten,Gebrek aan de toestand van de dakgoten,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_dakgoten,Dakgoten,
trappen,trappen,Gebrek aan de toestand van de trappen,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_trappen,Trappen,
liften,liften,Gebrek aan de toestand van de liften,,,conceptscheme:uitgesproken_gebrek,,uitgesproken_gebrek:gebouwonderdeel,,,thema:5,prop:vertoont_gebrek_ivm_liften,Liften,
stabiliteit,stabiliteit,Gebrek dat stabiliteit in het gedrang brengt,,,conceptscheme:uitgesproken_gebrek,conceptscheme:uitgesproken_gebrek,,,,thema:5,prop:vertoont_gebrek_ivm_stabiliteit,Gebrek dat stabiliteit in het gedrang brengt,
veiligheid,veiligheid,Gebrek dat veiligheid in het gedrang brengt,,,conceptscheme:uitgesproken_gebrek,conceptscheme:uitgesproken_gebrek,,,,thema:5,prop:vertoont_gebrek_ivm_veiligheid,Gebrek dat veiligheid in het gedrang brengt,
vochtindringing,vochtindringing,Gebrek dat leidt tot vochtindringing,,,conceptscheme:uitgesproken_gebrek,conceptscheme:uitgesproken_gebrek,,,,thema:5,prop:vertoont_gebrek_ivm_vochtindringing,Gebrek dat leidt tot vochtindringing,
,,,,,,,,,,,,,
